q01;fabrication,music,instrument
q02;famous,german,poetry
q03;romanticism
q04;university,edinburgh,research
q06;bridge,construction
q07;walk,fame,star
q08;scientist,worked,atomic,bomb
q09;invention,internet
q10;early,telecommunication,method
q12;explored,south,pole
q13;famous,member,royal,navy
q14;nobel,prize,winning,invention
q16;south,america
q17;edward,teller,marie,curie
q18;computing,language,programming,artificial,intelligence
q19;william,hearst,movie
q22;captain,james,cook,become,explorer
q23;grace,hopper,get,famous
q24;computer,astronomy
q25;wwii,aircraft
q26;literary,critic,thomas,moore
q27;nazi,confiscate,destroy,art,literature
q28;modern,age,english,literature
q29;modern,physiology
q32;roman,empire
q34;scientist,contributed,photosynthesis
q36;aviation,pioneer,publication
q37;gutenberg,bible
q38;religious,belief,scientist,explorer
q40;carl,friedrich,gauss,influence,colleague
q41;personality,hannover
q42;skinner,experiment,operant,conditioning,chamber
q44;napoleon,russian,campaign
q45;friend,enemy,napoleon,bonaparte
q46;first,woman,nobel,prize
